Fiscal Year,Program,Species,Source Table,Spawning / Cross Date,Female ID,Male ID 1,Male ID 2,Male ID 3,Male ID 4,Male ID 5,Male ID 6,Number of Males in Cross,Family Groups,Incubation Vessel,Egg Volume (mL),Eggs per mL,Total Eggs,1st Fry Count,1st Hatch Rate (%),2nd Fry Count,2nd Hatch Rate (%),Hatch Date
2024,Wild ESS Spawning,LRS,"FY2024 Report, Table 3",4/17/2024,003D6B96AC,257C5DBC9C,003D6D4420,003D485428,003BBFCD43,,,4,4,aquaria,28.16,42.6,1200,483,40.3,,,4/24/2024
2024,Wild ESS Spawning,LRS,"FY2024 Report, Table 3",4/17/2024,003D6B96AC,257C5DBC9C,003D6D4420,003D485428,003BBFCD43,,,4,4,jars,192,42.6,8179,5258,64.3,,,4/22/2024
2024,Wild ESS Spawning,LRS,"FY2024 Report, Table 3",4/24/2024,257C5DC4F7,003D6D42A2,003C08DB3F,003D6B9717,003BC11270,,,4,4,jars,170,34.33,5836,4086,70,,,5/2/2024
2024,Wild ESS Spawning,LRS,"FY2024 Report, Table 3",4/24/2024,003D6D42B0,003D6B9717,003BC11270,003D485524,003D485512,,,4,4,jars,175,47,8225,2253,27.4,,,5/2/2024
2024,Wild ESS Spawning,LRS,"FY2024 Report, Table 3",4/24/2024,003D6D42B9,003C08883C,003BC11270,003D485512,003C08DB3F,,,4,4,jars,295,35,10325,11090,107.4,,,5/2/2024
2024,Wild ESS Spawning,LRS,"FY2024 Report, Table 3",4/24/2024,003C088836,003C08883C,003D485524,003D6B9717,003D6D42A2,,,4,4,jars,200,35,7000,3346,47.8,,,5/2/2024
2024,Wild ESS Spawning,LRS,"FY2024 Report, Table 3",4/24/2024,257C67C96D,003C08DB3F,003BC11270,003D485524,003D485512,,,4,4,jars,125,30.33,3791,517,13.6,,,5/2/2024
2024,Wild ESS Spawning,LRS,"FY2024 Report, Table 3",4/24/2024,003D4855AE,003D6D42A2,003D6B9717,003D485524,003C08883C,,,4,4,jars,160,34,5440,547,10.1,,,5/2/2024
2024,Wild ESS Spawning,LRS,"FY2024 Report, Table 3",5/1/2024,003BC11294,1C2DE2D2AD,003C08DB59,257C5D6ADA,257C6CD07D,,,4,4,jars,65,42,2730,2799,102.5,,,5/8/2024
2024,Wild ESS Spawning,LRS,"FY2024 Report, Table 3",5/1/2024,003BF7BCD9,1C2DE2D2AD,257C6CD07D,003C08DB59,257C5D6ADA,,,4,4,jars,165,41.65,6872,6457,94,,,5/8/2024
