Event ID,Actual Year,Date / Period,Location / Pond-Tank-Pen,Event Category,Mortality Event? (Y/N),Cause Description,Population Affected (denominator),Number/Percent Lost (as reported),"% Lost (best estimate, numeric)",Confidence,Severity Tier
E01,2019,2019 growing season,"UKL net pens, Rattlesnake Point (UKLN & UKLS)",predation,Y,Suspected avian (bird) predators infiltrating net pen netting,"Suckers stocked in original UKL net pens, 2019 deployment (UKLN 534; UKLS 480; total 1,014)",UKLN 0/534 = 0.0% survival; UKLS 10/480 = 2.1% survival (pooled ~99.0% loss),99.0%,Quantified,Catastrophic (>70% loss)
E02,2021,Winter 2020/21 (Dec 2020-Feb 2021),Outdoor growout ponds (geothermally warmed),water_quality,Y,Ammonia spike from staff raising pond temps above 15C via increased geothermal flow to extend growing season,"CY2019 fish overwintering in ponds (~7,664 fish in that lot at the time)",Not quantified,,Qualitative only,Qualitative only (unquantified)
E03,2021,"Night of May 5-6, 2021",Greenhouse incubation (hatchery building),other,Y,"Unknown; suspected unstable incubation water temperature or jar agitation, later suspected geothermal water chemistry (low hardness/alkalinity, dissolved metals)","Wild-spawned SNS eggs, hatchery-incubated portion (subset of a 1 female x 2 male spawn; separate 6,000-egg portion sent to SNARRC survived >80% and is NOT part of this loss)","100% of the hatchery-incubated portion (""all perished"")",100.0%,Quantified,Catastrophic (>70% loss)
E04,2021,"May 13, 2021","Greenhouse incubation, heath tray stacks",other,Y,Unknown; suspected geothermal water chemistry despite improved temperature control,"Captively-spawned SNS eggs (CY2017 lot female, hCG-induced spawn)","100% within days of hatch (""total losses"")",100.0%,Quantified,Catastrophic (>70% loss)
E05,2021,Mid-May 2021,Greenhouse larval rearing tanks,disease,Y,Gut impaction from fry ingesting unhatched Artemia cysts during early feeding,"Newly collected wild larval suckers (part of 106,710 total collected in 2021)","Not separately quantified; contributes jointly with E06 to overall 50.2% collection-to-pond survival (53,518 of 106,710 ponded)",,"Qualitative only (joint effect quantified, individual event not)",Qualitative only (unquantified)
E06,2021,Mid-June 2021,Greenhouse larval rearing tanks,disease,Y,Costia (parasitic protozoan) outbreak,"Larval suckers in early rearing tanks (part of 106,710 total collected in 2021)",Not separately quantified; contributes jointly with E05 to overall 50.2% collection-to-pond survival,,"Qualitative only (joint effect quantified, individual event not)",Qualitative only (unquantified)
E07,2021,Mid-July 2021,Gerber Reservoir net pen,weather,N,Drought / low reservoir water levels; projected to go dry within weeks,Tagged CY2019/CY2020 suckers held in Gerber Reservoir net pen,"No major loss; preemptive emergency harvest recovered 2,175 fish to refugia",0.0%,Quantified (near-zero loss - preempted),Near-miss (no mortality observed)
E08,2021,Late July/Early Aug 2021 (discovered early Aug),Upper Klamath Lake net pens (UKLN total loss; UKLS partial),water_quality,Y,"Anoxic conditions for several consecutive nights, traced to USGS Rattlesnake Point monitoring","2,500 fish stocked (CY2019: 250; CY2020: 2,250) split across north/south pens","Only 606 of 2,500 recovered overall (24.2% survival, 75.8% loss); UKLN 0.0% survival (total loss, both cohorts); UKLS 34.8% (CY2019) and 23.1% (CY2020) survival",75.8%,Quantified,Catastrophic (>70% loss)
E09,2022,Aug-Sept 2022 (resolved Oct when ponds cooled),Ponds A4 and A2 (outdoor A-series),disease,Y,Unknown; USFWS CA/NV Fish Health Center found no infectious agents; fish showed tetany with lateral bruising,2022-collected larval cohort reared in Ponds A4/A2,Not quantified numerically in narrative (Table 3/4 shows related pond counts but text does not reconcile them to this event),,Qualitative only,Qualitative only (unquantified)
E10,2022,December 2022,Pond P9 (feed study pond),disease,Y,Tetany (cause unknown) plus gill lamellae necrosis from winter thermal complications,2022-collected cohort in Pond P9,Not quantified,,Qualitative only,Qualitative only (unquantified)
E11,2022,4/8/2022,"In-transport, Agency Lake, en route to UKLW net pen",weather,Y,High winds and large waves during boat transport,Age-1 (2021 year class) PIT-tagged suckers being stocked to UKLW net pen,"~200+ fish lost of ~2,199 loaded (1,999 arrived); ~9-10% loss in transit",9.1%,Estimated,Minor (<10% loss)
E12,2022,Apr-Oct 2022 growout season (worst DO Jul 29-Aug 25),"UKLW & UKLE net pens, Four Mile Canal, Agency Lake",water_quality,Y,"Repeated DO crashes/anoxia (DO=0.0 mg/L on multiple dates; below 2 mg/L 20 times) compounded by heavy non-target bycatch (fathead minnow, tui chub, blue chub) competing for food -> low growth/emaciation","Age-1 PIT-tagged suckers: UKLW 1,999 stocked, UKLE 1,852 stocked (3,851 total)","UKLW 947/1,999 survived (52.6% loss); UKLE 897/1,852 survived (51.6% loss); combined 1,844/3,851 = 47.9% survival (52.1% loss) - reported by the hatchery as the ""highest net pen survival in program history""",52.1%,Quantified,Major (30-70% loss)
E13,2022,May-June 2022 collection season,Lower Williamson River (larval collection),weather,N,Low river flows reduced effectiveness of passive drift-net collection gear,Wild drifting larval suckers (uncollected portion of the population),"Not a mortality event - reduced catch efficiency, not fish death",,"Not applicable (collection efficiency, not mortality)",Non-mortality (escape/collection/reproductive)
E14,2022,November 2022,Fingerling growout pond - Bozeman Razorback (RZB) diet trial,disease,Y,"Suspected nutrition-related pathology: extreme gill hyperplasia, little/no feeding, poor visceral fat stores, protein loss in urine (feed tested, not rancid)",Fingerling suckers on Razorback diet trial,"Not separately quantified (""sporadic mortality""); RZB fingerling survival ended the trial at 86% (lowest of four diets), though that figure blends trial/grading factors beyond just this event",14.0%,Estimated,Moderate (10-30% loss)
E15,2022,Spring-Summer 2022 (diet-trial larval stage),Research Rack larval rearing tanks,water_quality,Y,Possible high water temperatures plus tank overflow incidents,Larval suckers in a long-term diet-trial cohort,"Unquantified (""increase in mortality""); trial phase ended early with no usable conclusions",,Qualitative only,Qualitative only (unquantified)
E16,2023,"July 2-4, 2023","Indoor greenhouse, Tank C14 (larval rearing)",disease,Y,"Unspecified ""fish health mortality event"" (cause not further diagnosed in text)","Larval suckers collected 5/31/2023 into Tank C14 (1,509 collected)",752 fish lost of 938 total observed tank mortality; tank survival fell to 19.7% (~80.3% loss),80.3%,Quantified,Catastrophic (>70% loss)
