id,year,category,mortality_event,percent_mortality,n_mortality
E01,2019,predation,Y,99.00%,1004
E02,2021,water_quality,Y,,
E03,2021,other,Y,100.00%,
E04,2021,other,Y,100.00%,
E05,2021,disease,Y,,
E06,2021,disease,Y,,
E07,2021,weather,N,0.00%,
E08,2021,water_quality,Y,75.80%,
E09,2022,disease,Y,,
E10,2022,disease,Y,,
E11,2022,weather,Y,9.10%,200
E12,2022,water_quality,Y,52.10%,2007
E13,2022,weather,N,,
E14,2022,disease,Y,14.00%,
E15,2022,water_quality,Y,,
E16,2023,disease,Y,80.30%,752
E17,2023,water_quality,Y,97.00%,
E18,2023,equipment,N,54.80%,
E19,2023,water_quality,Y,74.80%,
E20,2023,other,N,,
E21,2023,weather,N,,
E22,2024,water_quality,Y,45.00%,
E23,2024,disease,Y,9.50%,
E24,2024,other,Y,23.00%,
E25,2024,disease,Y,55.00%,
E26,2024,equipment,N,0.00%,
E27,2024,water_quality,N,0.00%,
E28,2024,other,N,,
