fiscal_year,month,pond,mortality,type,age,starting_count
2023,Oct,A1,1,pond,3/4/other,16090
2023,Oct,A2,129,pond,1,12500
2023,Oct,A3,4,pond,1/2/other,NA
2023,Oct,A4,43,pond,0/1,21053
2023,Oct,P2,1,pond,4,160
2023,Oct,P3,1,pond,4,152
2023,Oct,P5,1,pond,3,470
2023,Oct,P6,1,pond,2/4/other,NA
2023,Oct,P9,7,pond,1,799
2023,Oct,P10,2,pond,1,686
2023,Oct,P11,1,pond,1,771
2023,Oct,P12,4,pond,1,708
2023,Oct,P14,2,pond,1,685
2023,Oct,P15,2,pond,1,770
2023,Oct,P16,3,pond,1,708
2023,Oct,P17,1,pond,1/2,NA
2023,Oct,P18,3,pond,0/1/2,NA
2023,Oct,P19,6,pond,0/1/2,NA
2023,Oct,P20,5,pond,0/1/2,NA
2023,Oct,P21,11,pond,0/2/other,900
2023,Oct,B1,41,pond,2,NA
2023,Oct,B3,12,pond,2,NA
2023,Oct,B5,2,pond,2,NA
2023,Oct,B6,1,pond,2,NA
2023,Oct,B7,1,pond,2,NA
2023,Oct,B8,3,pond,2,NA
2023,Oct,B9,5,pond,2,NA
2023,Oct,B15,7,pond,2,NA
2023,Oct,B16,2,pond,2,NA
2023,Oct,B17,3,pond,2,NA
2023,Oct,B18,6,pond,2,NA
2023,Oct,B19,1,pond,2,NA
2023,Oct,B21,2,pond,2,NA
2023,Oct,B22,6,pond,2,NA
2023,Oct,B23,3,pond,2,NA
2023,Oct,B24,3,pond,2,NA
2023,Nov,A2,10,pond,1,12500
2023,Nov,A3,6,pond,1/2/other,NA
2023,Nov,A4,1,pond,0/1,21053
2023,Nov,P1,1,pond,4,232
2023,Nov,P2,2,pond,4,160
2023,Nov,P6,3,pond,2/4/other,NA
2023,Nov,P9,22,pond,1,799
2023,Nov,P15,1,pond,1,770
2023,Nov,P21,1,pond,0/2/other,900
2023,Dec,A3,3,pond,1/2/other,NA
2023,Dec,A4,2,pond,0/1,21053
2023,Dec,P0,1,pond,4,87
2023,Dec,P1,4,pond,4,232
2023,Dec,P4,1,pond,3/4,468
2023,Dec,P5,2,pond,3,470
2023,Dec,P6,1,pond,2/4/other,NA
2023,Dec,P7,1,pond,0/1/other,NA
2023,Dec,P8,98,pond,1/4/other,NA
2023,Dec,P13,2,pond,1,797
2023,Dec,P14,0,pond,1,685
2023,Dec,P17,14,pond,1/2,NA
2023,Dec,P18,2,pond,0/1/2,NA
2023,Dec,P19,1,pond,0/1/2,NA
2023,Dec,P20,1,pond,0/1/2,NA
2023,Jan,A3,3,pond,1/2/other,NA
2023,Jan,P1,2,pond,4,232
2023,Jan,P5,2,pond,3,470
2023,Jan,P9,3,pond,1,799
2023,Jan,P14,1,pond,1,685
2023,Jan,P18,3,pond,0/1/2,NA
2023,Jan,P19,2,pond,0/1/2,NA
2023,Jan,P20,5,pond,0/1/2,NA
2023,Feb,A3,5,pond,1/2/other,NA
2023,Feb,P1,1,pond,4,232
2023,Feb,P2,2,pond,4,160
2023,Feb,P3,1,pond,4,152
2023,Feb,P4,1,pond,3/4,468
2023,Feb,P6,2,pond,2/4/other,NA
2023,Feb,P8,1,pond,1/4/other,NA
2023,Feb,P11,2,pond,1,771
2023,Feb,P18,2,pond,0/1/2,NA
2023,Feb,P19,4,pond,0/1/2,NA
2023,Feb,P20,8,pond,0/1/2,NA
2023,Mar,A2,10,pond,1,12500
2023,Mar,P3,2,pond,4,152
2023,Mar,P4,1,pond,3/4,468
2023,Mar,P13,1,pond,1,797
2023,Mar,P14,6,pond,1,685
2023,Mar,P15,5,pond,1,770
2023,Apr,A1,3,pond,3/4/other,16090
