season,season_type,season_year,pond,lot,stocked_date,start_number,start_tl_mm,harvest_date,end_number,end_tl_mm,days_in_pond,growth_mm_day,harvest_morts,survival_percent,stocked_to,fiscal_year,age,starting_count
Fall 2021,Fall,2021,P18,2020,2021-04-25,1100,131,2021-10-04,1085,185,162,0.3333333333333333,35,101.81818181818181,NA,2022,2,1100
Fall 2021,Fall,2021,P20,2020,2021-04-19,994,118,2021-10-04,858,152,168,0.20238095238095238,5,86.82092555331991,NA,2022,2,994
Fall 2021,Fall,2021,P19,2020,2021-04-19,1000,131,2021-10-06,803,168,170,0.21764705882352942,35,83.8,NA,2022,2,1000
Fall 2021,Fall,2021,P21,2020,2021-03-19,1100,121,2021-10-06,936,165,201,0.21890547263681592,25,87.36363636363636,NA,2022,1/2,1100
Fall 2021,Fall,2021,B2,2020,2021-03-23,450,123,2021-10-18,354,195,209,0.3444976076555024,9,80.66666666666666,NA,2022,2,450
Fall 2021,Fall,2021,B4,2020,2021-03-26,600,152,2021-10-18,458,195,206,0.2087378640776699,1,76.5,NA,2022,2,600
Fall 2021,Fall,2021,B6,2020,2021-03-23,750,139,2021-10-18,655,183,209,0.21052631578947367,17,89.60000000000001,NA,2022,2,750
Fall 2021,Fall,2021,B8,2020,2021-03-24,900,142,2021-10-18,754,185,208,0.20673076923076922,12,85.11111111111111,NA,2022,2,900
Fall 2021,Fall,2021,B1,2020,2021-03-22,450,121,2021-10-20,357,190,212,0.32547169811320753,3,80,NA,2022,2,450
Fall 2021,Fall,2021,B3,2020,2021-03-23,600,121,2021-10-20,542,180,211,0.2796208530805687,11,92.16666666666666,NA,2022,2,600
Fall 2021,Fall,2021,B5,2020,2021-03-22,750,122,2021-10-20,599,168,212,0.2169811320754717,19,82.39999999999999,NA,2022,2,750
Fall 2021,Fall,2021,B7,2020,2021-03-25,900,143,2021-10-20,698,188,209,0.215311004784689,16,79.33333333333333,NA,2022,2,900
Fall 2021,Fall,2021,B9,2020,2021-03-31,450,122,2021-10-25,420,189,208,0.32211538461538464,9,95.33333333333334,NA,2022,2,450
Fall 2021,Fall,2021,B11,2020,2021-04-01,600,124,2021-10-25,564,186,207,0.2995169082125604,8,95.33333333333334,NA,2022,2,600
Fall 2021,Fall,2021,B13,2020,2021-03-31,750,139,2021-10-25,633,179,208,0.19230769230769232,1,84.53333333333333,NA,2022,2,750
Fall 2021,Fall,2021,B15,2020,2021-04-01,900,125,2021-10-25,806,175,207,0.24154589371980675,6,90.22222222222223,NA,2022,1/2,900
Fall 2021,Fall,2021,B10,2020,2021-03-30,450,102,2021-10-26,401,178,210,0.3619047619047619,3,89.77777777777777,NA,2022,2,450
Fall 2021,Fall,2021,B12,2020,2021-03-31,600,123,2021-10-26,556,188,209,0.31100478468899523,4,93.33333333333333,NA,2022,2,600
