fiscal_year,facility,age,starting_count
2019,UKLN,1,534
2019,UKLS,2,480
2020,A1,2,
2020,A2,2,
2020,A3,1/2/3,
2020,P11,1,
2020,P12,1/3,
2020,P13,1,
2020,P14,1,
2020,P15,1,
2020,P5,1,
2020,P8,1/2,
2020,P9,1,
2020,UKLN,1,220
2021,A1,0,
2021,A2,0/2,
2021,A3,2,
2021,A4,0,
2021,B1,1,
2021,B10,1,
2021,B11,1,
2021,B12,1,
2021,B13,1,
2021,B14,1,
2021,B15,1/2,
2021,B16,1,
2021,B17,1,
2021,B18,1,
2021,B19,1,
2021,B2,1,
2021,B20,1,
2021,B21,1/2,
2021,B22,1,
2021,B23,1,
2021,B24,1,
2021,B3,1,
2021,B4,1,
2021,B5,1,
2021,B6,1,
2021,B7,1,
2021,B8,1,
2021,B9,1,
2021,GERE,1/2,998
2021,GERW,1/2,1481
2021,P0,2/4,
2021,P1,2/3/4,
2021,P10,0/2,
2021,P11,0/2,
2021,P12,0,
2021,P13,0,
2021,P14,0/2,
2021,P15,0/2,
2021,P16,0/2,
2021,P17,0/2,
2021,P18,1,
2021,P19,1,
2021,P2,0,
2021,P20,1/2,
2021,P21,1/2,
2021,P3,0/2,
2021,P4,0,
2021,P5,0/2,
2021,P6,0/2,
2021,P7,0,
2021,UKLN,1/2,1000
2021,UKLS,1/2,1500
2022,A1,1/other,15000
2022,A4,0/1,10000
2022,B1,2,450
2022,B10,2,450
2022,B11,2,600
2022,B12,2,600
2022,B13,2,750
2022,B14,2,750
2022,B15,1/2,900
2022,B16,1/2,900
2022,B17,1/2,450
2022,B18,1/2,450
2022,B19,1/2,600
2022,B2,2,450
2022,B20,1/2,750
2022,B21,1/2,750
2022,B22,1/2,600
2022,B23,1/2,900
2022,B24,1/2,900
2022,B3,2,600
2022,B4,2,600
2022,B5,2,750
2022,B6,2,750
2022,B7,2,900
2022,B8,2,900
2022,B9,2,450
2022,P0,3/4,335
2022,P1,4,354
2022,P10,0/1,1500
2022,P11,0/1,901
2022,P12,0/1,1207
2022,P13,0/1,1502
2022,P14,0/1,604
2022,P15,0/1,914
2022,P16,0/1,1200
2022,P17,1,1501
2022,P18,2,1100
2022,P19,2,1000
2022,P2,1/3,603
2022,P20,2,994
2022,P21,1/2,1100
2022,P3,1/3,1135
2022,P4,1/2,1210
2022,P5,1/2,601
2022,P6,1/2,1811
2022,P7,1/2,1555
2022,P8,1/4/other,262
2022,P9,0/3,295
2022,UKLE,1,1852
2022,UKLW,1,1999
2023,A1,3/4/other,16090
2023,A2,1,12500
2023,A3,1/2/other,
2023,A4,0/1,21053
2023,B1,2,
2023,B10,2,
2023,B11,2,
2023,B12,2,
2023,B13,2,
2023,B14,2,
2023,B15,2,
2023,B16,2,
2023,B17,2,
2023,B18,2,
2023,B19,2,
2023,B2,2,
2023,B20,2,
2023,B21,2,
2023,B22,2,
2023,B23,2,
2023,B24,2,
2023,B3,2,
2023,B4,2,
2023,B5,2,
2023,B6,2,
2023,B7,2,
2023,B8,2,
2023,B9,2,
2023,GERE,2,1005
2023,GERW,2,1036
2023,P0,4,87
2023,P1,4,232
2023,P10,1,686
2023,P11,1,771
2023,P12,1,708
2023,P13,1,797
2023,P14,1,685
2023,P15,1,770
2023,P16,1,708
2023,P17,1/2,
2023,P18,0/1/2,
2023,P19,0/1/2,
2023,P2,4,160
2023,P20,0/1/2,
2023,P21,0/2/other,900
2023,P3,4,152
2023,P4,3/4,468
2023,P5,3,470
2023,P6,2/4/other,
2023,P7,0/1/other,
2023,P8,1/4/other,
2023,P9,1,799
2023,UKLE,2,1001
2023,UKLW,2,1005
2024,A1,other,16372
2024,A2,2,17074
2024,C1,0,
2024,C2,1,
2024,C4,other,
2024,C5,other,
2024,GERE,1/2,648
2024,GERW,1/2,730
2024,P0,1/4,
2024,P1,4,103
2024,P10,0/2,504
2024,P11,0/2,503
2024,P12,0/2,504
2024,P13,0/1/2,505
2024,P14,0/1/2,502
2024,P15,2/other,504
2024,P16,2/other,504
2024,P17,2/other,911
2024,P18,1,1500
2024,P19,1,628
2024,P2,4,100
2024,P20,1,423
2024,P21,2,342
2024,P3,4,102
2024,P4,4,100
2024,P5,4,302
2024,P6,3,311
2024,P7,4,3631
2024,P8,4,84
2024,P9,2,501
2025,B1,wild/other,
2025,B2,0/wild/other,
2025,B3,0/wild,
2025,B4,0/wild/other,
2025,C1,other,9510
2025,C2,2/other,1345
2025,C3,1/wild,
2025,C4,0,8926
2025,C5,0/2/wild,908
2025,C6,1/other,
2025,P0,2/other,127
2025,P1,3/other,86
2025,P10,2/other,3000
2025,P11,2/other,3000
2025,P12,1/other,3027
2025,P13,1/other,3012
2025,P14,0,3031
2025,P15,0,2446
2025,P16,0/2,878
2025,P18,0,957
2025,P19,0,957
2025,P2,4/other,86
2025,P20,0,957
2025,P3,4/other,91
2025,P4,1/4,91
2025,P5,1/4,262
2025,P6,1/4,266
2025,P7,1/4,85
2025,P8,1/4,32
2025,P9,1/other,401
2025,UKLE,other,
2025,UKLW,other,
