taxa,location,year,age,survival_indice_type,value
lost river suckers,upper klamath lake,2015,age-0,august to september,0.16
shortnose suckers klamath largescale suckers and SNS/KLS,upper klamath lake,2015,age-0,august to september,0.49
lost river suckers,upper klamath lake,2016,age-0,august to september,0.16
shortnose suckers klamath largescale suckers and SNS/KLS,upper klamath lake,2016,age-0,august to september,0.35
lost river suckers,upper klamath lake,2017,age-0,august to september,0.15
shortnose suckers klamath largescale suckers and SNS/KLS,upper klamath lake,2017,age-0,august to september,0
lost river suckers,upper klamath lake,2018,age-0,august to september,0
shortnose suckers klamath largescale suckers and SNS/KLS,upper klamath lake,2018,age-0,august to september,1
lost river suckers,upper klamath lake,2019,age-0,august to september,0.75
shortnose suckers klamath largescale suckers and SNS/KLS,upper klamath lake,2019,age-0,august to september,0.37
lost river suckers,upper klamath lake,2020,age-0,august to september,0.2
shortnose suckers klamath largescale suckers and SNS/KLS,upper klamath lake,2020,age-0,august to september,1
lost river suckers,upper klamath lake,2021,age-0,august to september,0.08
shortnose suckers klamath largescale suckers and SNS/KLS,upper klamath lake,2021,age-0,august to september,1
lost river suckers,upper klamath lake,2022,age-0,august to september,0.12
shortnose suckers klamath largescale suckers and SNS/KLS,upper klamath lake,2022,age-0,august to september,1
lost river suckers,upper klamath lake,2015,age-0-age-1,september to june,0.75
shortnose suckers klamath largescale suckers and SNS/KLS,upper klamath lake,2015,age-0-age-1,september to june,0.33
lost river suckers,upper klamath lake,2016,age-0-age-1,september to june,0.06
shortnose suckers klamath largescale suckers and SNS/KLS,upper klamath lake,2016,age-0-age-1,september to june,0.2
lost river suckers,upper klamath lake,2017,age-0-age-1,september to june,0
shortnose suckers klamath largescale suckers and SNS/KLS,upper klamath lake,2017,age-0-age-1,september to june,1
lost river suckers,upper klamath lake,2018,age-0-age-1,september to june,0
shortnose suckers klamath largescale suckers and SNS/KLS,upper klamath lake,2018,age-0-age-1,september to june,0.14
lost river suckers,upper klamath lake,2019,age-0-age-1,september to june,0.04
shortnose suckers klamath largescale suckers and SNS/KLS,upper klamath lake,2019,age-0-age-1,september to june,0.92
lost river suckers,upper klamath lake,2020,age-0-age-1,september to june,0.33
shortnose suckers klamath largescale suckers and SNS/KLS,upper klamath lake,2020,age-0-age-1,september to june,0.44
lost river suckers,upper klamath lake,2021,age-0-age-1,september to june,0
shortnose suckers klamath largescale suckers and SNS/KLS,upper klamath lake,2021,age-0-age-1,september to june,0.06
