sex,year,population,apparent_survival_estimate,apparent_survival_SE,apparent_survival_CI,seniority_probability_estimate,seniority_probability_SE,seniority_probability_CI,annual_population_rate_of_change_estimate,annual_population_rate_of_change_SE,annual_population_rate_of_change_CI
Female,1999,lost river lakeshore spawning,0.91,0.086,0.57-0.99,C,NA,NA,NA,NA,NA
Female,2000,lost river lakeshore spawning,0.92,0.05,0.75-0.97,NA,NA,NA,NA,NA,NA
Female,2001,lost river lakeshore spawning,B,NA,NA,0.99,0.005,0.97-0.99,1.01,0.005,1.00-1.02
Female,2002,lost river lakeshore spawning,0.88,0.031,0.81-0.93,0.99,0.005,0.97-0.99,0.89,0.032,0.83-0.95
Female,2003,lost river lakeshore spawning,0.9,0.027,0.83-0.94,0.99,0.005,0.97-0.99,0.91,0.027,0.86-0.97
Female,2004,lost river lakeshore spawning,0.95,0.021,0.89-0.98,0.99,0.005,0.97-0.99,0.97,0.022,0.92-1.01
Female,2005,lost river lakeshore spawning,0.94,0.012,0.91-0.96,0.99,0.005,0.97-0.99,0.95,0.013,0.93-0.98
Female,2006,lost river lakeshore spawning,0.96,0.006,0.95-0.97,0.99,0.005,0.97-0.99,0.97,0.007,0.96-0.99
Female,2007,lost river lakeshore spawning,0.96,0.005,0.95-0.97,0.99,0.005,0.97-0.99,0.97,0.007,0.96-0.98
Female,2008,lost river lakeshore spawning,0.95,0.006,0.93-0.96,0.99,0.005,0.97-0.99,0.96,0.007,0.95-0.97
Female,2009,lost river lakeshore spawning,0.95,0.006,0.94-0.96,0.99,0.005,0.97-0.99,0.97,0.007,0.95-0.98
Female,2010,lost river lakeshore spawning,0.93,0.006,0.92-0.94,0.99,0.005,0.97-0.99,0.94,0.008,0.93-0.96
Female,2011,lost river lakeshore spawning,0.93,0.006,0.91-0.94,0.99,0.005,0.97-0.99,0.94,0.007,0.92-0.95
Female,2012,lost river lakeshore spawning,0.91,0.006,0.90-0.92,0.99,0.005,0.97-0.99,0.92,0.008,0.91-0.94
Female,2013,lost river lakeshore spawning,0.91,0.006,0.90-0.92,0.99,0.005,0.97-0.99,0.92,0.008,0.91-0.94
Female,2014,lost river lakeshore spawning,0.93,0.006,0.92-0.94,0.99,0.005,0.97-0.99,0.95,0.007,0.93-0.96
Female,2015,lost river lakeshore spawning,0.92,0.006,0.90-0.93,0.99,0.005,0.97-0.99,0.93,0.008,0.91-0.94
Female,2016,lost river lakeshore spawning,C,NA,NA,0.99,0.005,0.97-0.99,NA,NA,NA
Male,1999,lost river lakeshore spawning,0.9,0.04,0.79-0.95,C,NA,NA,NA,NA,NA
Male,2000,lost river lakeshore spawning,0.98,0.037,0.60-1.00,NA,NA,NA,NA,NA,NA
Male,2001,lost river lakeshore spawning,B,NA,NA,0.96,0.002,0.96-0.97,1.03,0.041,1.03-1.04
Male,2002,lost river lakeshore spawning,0.8,0.029,0.73-0.85,0.96,0.002,0.96-0.97,0.83,0.03,0.77-0.89
Male,2003,lost river lakeshore spawning,0.86,0.022,0.82-0.90,0.96,0.002,0.96-0.97,0.9,0.023,0.85-0.94
Male,2004,lost river lakeshore spawning,0.93,0.018,0.89-0.96,0.96,0.002,0.96-0.97,0.96,0.019,0.93-1.00
Male,2005,lost river lakeshore spawning,0.91,0.011,0.89-0.93,0.96,0.002,0.96-0.97,0.94,0.012,0.92-0.97
Male,2006,lost river lakeshore spawning,0.89,0.007,0.88-0.90,0.96,0.002,0.96-0.97,0.92,0.008,0.91-0.94
Male,2007,lost river lakeshore spawning,0.93,0.006,0.92-0.94,0.96,0.002,0.96-0.97,0.96,0.006,0.95-0.98
Male,2008,lost river lakeshore spawning,0.91,0.007,0.90-0.92,0.96,0.002,0.96-0.97,0.95,0.007,0.93-0.96
Male,2009,lost river lakeshore spawning,0.92,0.007,0.91-0.93,0.96,0.002,0.96-0.97,0.95,0.007,0.94-0.97
Male,2010,lost river lakeshore spawning,0.9,0.007,0.88-0.91,0.96,0.002,0.96-0.97,0.93,0.008,0.91-0.94
Male,2011,lost river lakeshore spawning,0.89,0.007,0.87-0.90,0.96,0.002,0.96-0.97,0.92,0.007,0.90-0.93
Male,2012,lost river lakeshore spawning,0.9,0.007,0.88-0.91,0.96,0.002,0.96-0.97,0.93,0.007,0.91-0.94
Male,2013,lost river lakeshore spawning,0.9,0.007,0.88-0.91,0.96,0.002,0.96-0.97,0.93,0.007,0.92-0.95
Male,2014,lost river lakeshore spawning,0.91,0.007,0.89-0.92,0.96,0.002,0.96-0.97,0.94,0.007,0.93-0.96
Male,2015,lost river lakeshore spawning,0.9,0.007,0.88-0.91,0.96,0.002,0.96-0.97,0.93,0.008,0.92-0.95
Male,2016,lost river lakeshore spawning,C,NA,NA,0.96,0.002,0.96-0.97,NA,NA,NA
Female,2000,lost river river spawning,0.88,0.036,0.79-0.94,C,NA,NA,NA,NA,NA
Female,2001,lost river river spawning,B,NA,NA,NA,NA,NA,NA,NA,NA
Female,2002,lost river river spawning,0.92,0.022,0.86-0.95,B,NA,NA,0.92,0.022,0.86-0.93
Female,2003,lost river river spawning,0.9,0.016,0.87-0.93,0.83,0.065,0.66-0.93,1.08,0.087,0.91-1.25
Female,2004,lost river river spawning,B,NA,NA,B,NA,NA,NA,NA,NA
Female,2005,lost river river spawning,0.96,0.009,0.93-0.97,B,NA,NA,0.96,0.009,0.93-0.97
Female,2006,lost river river spawning,0.93,0.007,0.91-0.94,0.38,0.022,0.34-0.43,2.42,0.14,2.15-2.70
Female,2007,lost river river spawning,0.95,0.004,0.94-0.96,B,NA,NA,0.95,0.004,0.94-0.96
Female,2008,lost river river spawning,0.93,0.004,0.92-0.94,0.58,0.04,0.50-0.66,1.61,0.111,1.39-1.83
Female,2009,lost river river spawning,0.95,0.003,0.95-0.96,0.87,0.054,0.72-0.95,1.09,0.068,0.96-1.23
Female,2010,lost river river spawning,0.93,0.003,0.92-0.93,B,NA,NA,0.93,0.003,0.92-0.93
Female,2011,lost river river spawning,0.92,0.003,0.92-0.93,B,NA,NA,0.92,0.003,0.92-0.93
Female,2012,lost river river spawning,0.91,0.003,0.91-0.92,B,NA,NA,0.91,0.003,0.91-0.92
Female,2013,lost river river spawning,0.91,0.003,0.91-0.92,B,NA,NA,0.91,0.003,0.91-0.92
Female,2014,lost river river spawning,0.94,0.002,0.93-0.94,B,NA,NA,0.94,0.003,0.93-0.94
Female,2015,lost river river spawning,0.9,0.003,0.90-0.91,B,NA,NA,0.9,0.003,0.90-0.91
Female,2016,lost river river spawning,C,NA,NA,B,NA,NA,NA,NA,NA
Male,2000,lost river river spawning,0.7,0.042,0.62-0.78,C,NA,NA,NA,NA,NA
Male,2001,lost river river spawning,B,NA,NA,NA,NA,NA,NA,NA,NA
Male,2002,lost river river spawning,0.93,0.028,0.85-0.97,B,NA,NA,0.93,0.028,0.85-0.97
Male,2003,lost river river spawning,0.89,0.021,0.84-0.93,0.81,0.074,0.61-0.90,1.1,0.101,0.90-1.30
Male,2004,lost river river spawning,B,NA,NA,B,NA,NA,NA,NA,NA
Male,2005,lost river river spawning,B,NA,NA,B,NA,NA,NA,NA,NA
Male,2006,lost river river spawning,0.81,0.009,0.79-0.83,0.35,0.023,0.30-0.39,2.31,0.155,2.00-2.61
Male,2007,lost river river spawning,0.96,0.005,0.95-0.97,B,NA,NA,0.96,0.005,0.95-0.97
Male,2008,lost river river spawning,0.93,0.006,0.92-0.94,0.55,0.042,0.46-0.62,1.69,0.129,1.44-1.95
Male,2009,lost river river spawning,0.9,0.005,0.89-0.91,0.85,0.06,0.71-0.96,1.06,0.076,0.91-1.21
Male,2010,lost river river spawning,0.92,0.004,0.91-0.93,B,NA,NA,0.92,0.004,0.91-0.93
Male,2011,lost river river spawning,0.92,0.004,0.91-0.93,B,NA,NA,0.92,0.004,0.91-0.93
Male,2012,lost river river spawning,0.86,0.005,0.85-0.87,B,NA,NA,0.86,0.005,0.85-0.87
Male,2013,lost river river spawning,0.91,0.004,0.90-0.91,B,NA,NA,0.91,0.004,0.90-0.91
Male,2014,lost river river spawning,0.94,0.003,0.94-0.95,B,NA,NA,0.94,0.003,0.94-0.95
Male,2015,lost river river spawning,0.92,0.004,0.92-0.93,B,NA,NA,0.92,0.004,0.92-0.93
Male,2016,lost river river spawning,C,NA,NA,B,NA,NA,NA,NA,NA
Female,1999,shortnose,0.69,0.259,0.17-0.96,C,NA,NA,NA,NA,NA
Female,2000,shortnose,0.68,0.059,0.55-0.78,NA,NA,NA,NA,NA,NA
Female,2001,shortnose,0.83,0.044,0.73-0.90,B,NA,NA,0.83,0.044,0.73-0.90
Female,2002,shortnose,0.91,0.048,0.76-0.97,B,NA,NA,0.91,0.048,0.76-0.97
