Pond,Lot,Stocked to Pond,Start ft,Start TL (mm),Harvest Date,End ft,End TL (mm),Total Days,Growth (mm/day),Total Growth (mm),Harvest Morts,Overall Survival (%)
P3,2019,3/2/2021,230,228,2/28/2022,228,265,363,0.10,37,0,99.1
P1,2018,3/2/2021,254,281,2/28/2022,251,281,363,0.00,0,0,98.8
P0,2017,5/10/2021,91,323,2/28/2022,90,351,294,0.10,28,0,98.9
P2,2019,11/11/2021,290,286,3/1/2022,287,279,110,-0.06,-7,0,99.0
R1,2020,11/4/2021,450,178,3/7/2022,363,173,123,-0.04,-5,9,82.7
B3,2020,11/4/2021,450,178,3/7/2022,342,172,123,-0.05,-6,6,77.3
B5,2020,11/4/2021,450,186,3/7/2022,398,176,123,-0.08,-10,4,89.3
B7,2020,11/4/2021,450,192,3/7/2022,388,186,123,-0.05,-6,10,88.4
D9,2020,11/4/2021,450,194,3/9/2022,408,188,125,-0.05,-6,8,92.4
B11,2020,11/4/2021,450,188,3/9/2022,402,181,125,-0.06,-7,0,89.3
B13,2020,11/5/2021,450,200,3/9/2022,420,191,124,-0.07,-9,1,93.6
B2,2020,10/21/2021,1000,179,3/14/2022,829,171,144,-0.06,-8,14,84.3
B4,2020,10/22/2021,1000,179,3/14/2022,747,173,143,-0.04,-6,13,76.0
D6,2020,10/27/2021,1000,179,3/14/2022,696,173,138,-0.04,-6,32,69.8
R8,2020,10/27/2021,1000,179,3/14/2022,822,168,138,-0.08,-11,9,83.1
B10,2020,10/29/2021,1000,179,3/16/2022,737,177,138,-0.01,-2,35,77.2
B12,2020,11/2/2021,1000,181,3/16/2022,851,172,134,-0.07,-9,13,86.4
B14,2020,11/4/2021,393,185,3/16/2022,314,178,132,-0.05,-7,5,81.2
P18,2020,10/7/2021,1011,178,3/21/2022,698,169,165,-0.05,-9,29,68.0
P19,2020,10/13/2021,989,176,3/21/2022,817,165,160,-0.07,-11,10,83.6
P20,2020,10/4/2021,986,172,3/21/2022,872,164,168,-0.05,-8,31,91.6
P21,2020,10/21/2021,1000,179,3/23/2022,698,172,153,-0.05,-7,33,73.1
B16,2021,11/23/2021,1003,97.4,3/28/2022,947,99,125,0.01,2,8,95.2
D22,2021,11/18/2021,1009,90,3/28/2022,904,99,130,0.07,9,23,91.9
R24,2021,11/24/2021,1001,101,3/29/2022,903,104,124,0.02,3,33,93.5
B18,2021,11/17/2021,999,97,3/29/2022,924,99,132,0.02,2,19,94.4
B20,2021,11/24/2021,985,96,3/29/2022,896,96,125,0.00,0,0,91.0
B21,2021,11/18/2021,1042,90,3/30/2022,868,90,132,0.00,0,25,95.3
D17,2021,11/12/2021,992,90,3/30/2022,839,94,138,0.03,4,37,88.3
B15,2021,11/12/2021,1043,99,3/31/2022,934,103,139,0.03,4,36,93.0
B23,2021,12/6/2021,996,88,3/4/2022,923,91,88,0.03,3,12,93.9
B19,2021,11/17/2021,985,94,3/4/2022,865,94,107,0.00,0,11,88.9
P16,2021,12/6/2021,1000,99,3/11/2022,852,101,91,0.02,2,81,91.3
P15,2021,12/6/2021,1014,105,3/7/2022,883,107,91,0.02,2,22,89.3
P14,2021,12/6/2021,539,100,3/7/2022,459,105,91,0.05,5,22,89.2
A1,2021,6/17/2021,15000,20,,9717,115,, ,95,65,65.2
A2,2021,6/17/2021,12500,20,,6154,120,, ,100,194,50.8
A4,2021,6/17/2021,10000,20,,2128,,, , ,45,21.7
2017,, ,91,, ,90,,, , ,0,98.9
2018,, ,754,, ,751,,, , ,0,98.8
2019,, ,520,, ,515,,, , ,0,99.0
2020,, ,13529,, ,10702,,, , ,262,81.0
2021,, ,50108,, ,29276,,, , ,531,59.7
Overall,, ,64502,, ,40834,,, , ,893,64.7
