Pond,Lot,Stocked to Pond,Start #,Start TL (mm),Harvest Date,End #,End TL (mm),Total Days,Growth (mm/day),Total Growth (mm),Harvest Morts,Overall Survival (%)
P0,2017,3/2/2022,90,351,9/19/2022,87,393,201,0.21,42,0,95.7
P1,2018,3/1/2022,251,281,9/19/2022,232,317,202,0.18,36,0,92.4
P2,2019,3/3/2022,288,271,9/19/2022,259,309,200,0.19,38,0,89.9
P3,2019,3/3/2022,228,265,9/19/2022,183,319,200,0.27,54,0,80.3
P4,2020,3/8/2022,499,173,9/20/2022,468,230,196,0.29,57,0,93.8
P5,2020,3/9/2022,500,181,9/20/2022,470,243,195,0.32,62,0,94.0
P6,2020,3/24/2022,546,172,9/21/2022,502,318,181,0.80,146,0,91.9
P7,2020,3/24/2022,550,169,9/21/2022,505,279,181,0.60,110,0,91.8
P8,2021/2019,6/16/2022,80,98,9/21/2022,53,398,97,3.09,300,0,66.3
A3,2021,4/29/2022,3076,120,10/3/2022,803,195,157,0.48,75,0,26.1
P17,2021,5/3/2022,1079,120,10/17/2022,1024,177,167,0.34,57,33,98.0
P19,2021,5/3/2022,900,120,10/17/2022,868,174,167,0.32,54,9,97.4
P18,2021,5/3/2022,900,120,10/18/2022,866,176,168,0.33,56,19,98.3
P20,2021,5/3/2022,900,120,10/18/2022,837,182,168,0.37,62,34,96.8
B1,2021,4/14/2022,600,114,10/24/2022,380,168,193,0.28,54,12,65.3
B3,2021,4/18/2022,600,116,10/24/2022,430,178,189,0.33,62,15,74.2
B5,2021,4/18/2022,600,115,10/25/2022,574,189,190,0.39,74,2,96.0
B7,2021,4/18/2022,600,115,10/25/2022,565,174,190,0.31,59,2,94.5
B9,2021,4/19/2022,600,115,10/26/2022,547,175,190,0.32,60,5,92.0
B11,2021,4/19/2022,600,115,10/26/2022,556,172,190,0.30,57,5,93.5
B13,2021,4/20/2022,600,115,10/26/2022,575,185,189,0.37,70,3,96.3
B15,2021,4/20/2022,600,115,10/27/2022,537,170,190,0.29,55,2,89.8
B17,2021,4/19/2022,600,115,10/27/2022,580,187,191,0.38,72,3,97.2
B19,2021,4/19/2022,600,115,10/31/2022,544,184,195,0.35,69,7,91.8
B21,2021,4/14/2022,600,115,10/31/2022,587,185,200,0.35,70,2,98.2
B23,2021,4/14/2022,600,115,11/2/2022,568,182,202,0.33,67,2,95.0
B24,2021,4/1/2022,600,97,11/2/2022,557,177,215,0.37,80,3,96.3
B20,2021,4/1/2022,600,97,11/7/2022,575,177,215,0.37,80,7,96.3
B22,2021,3/31/2022,600,103,11/7/2022,522,164,221,0.28,61,7,88.2
B18,2021,3/31/2022,600,97,11/7/2022,496,174,221,0.35,77,0,82.7
B16,2021,3/31/2022,600,95,11/7/2022,544,177,221,0.37,82,34,96.3
B12,2021,3/29/2022,600,99,11/7/2022,587,171,223,0.32,72,3,98.3
B14,2021,3/30/2022,600,98,11/14/2022,561,181,229,0.36,83,8,94.8
B10,2021,3/30/2022,600,98,11/14/2022,565,167,229,0.30,69,2,94.5
B4,2021,3/28/2022,600,102,11/14/2022,562,177,231,0.32,75,9,95.2
B2,2021,3/28/2022,600,104,11/14/2022,569,193,231,0.39,89,14,97.2
B8,2021,3/29/2022,600,99,11/16/2022,563,176,232,0.33,77,6,94.8
B6,2021,3/29/2022,600,102,11/16/2022,565,192,232,0.39,90,5,95.0
A2,2022,5/23/2022,18985,11,12/7/2022,17430,96,198,0.43,85,335,93.6
2017,, ,90,, ,87,,, , ,0,96.7
2018,, ,251,, ,232,,, , ,0,92.4
2019,, ,516,, ,442,,, , ,0,85.7
2020,, ,2095,, ,1945,,, , ,0,92.8
2021,, ,21255,, ,17507,,, , ,267,83.6
2022,, ,18985,, ,17430,,, , ,335,93.6
Overall,, ,43192,, ,37643,,, , ,602,88.5
